Frame Index,Mean Arrow Length,Max Arrow Length,Mean Angle (°),Angle Std Dev (°),Dominant Angle Range
0,0.0,0.0,0.0,0.0,0° to 30°
1,0.0,0.0,0.0,0.0,0° to 30°
2,0.0,0.0,0.0,0.0,0° to 30°
3,0.0,0.0,0.0,0.0,0° to 30°
4,0.0,0.0,0.0,0.0,0° to 30°
5,0.0,0.0,0.0,0.0,0° to 30°
6,0.0,0.0,0.0,0.0,0° to 30°
7,0.0,0.0,0.0,0.0,0° to 30°
8,0.0,0.0,0.0,0.0,0° to 30°
9,0.0,0.0,0.0,0.0,0° to 30°
10,0.0,0.0,0.0,0.0,0° to 30°
11,0.0,0.0,0.0,0.0,0° to 30°
12,0.0,0.0,0.0,0.0,0° to 30°
13,0.0,0.0,0.0,0.0,0° to 30°
14,0.0,0.0,0.0,0.0,0° to 30°
15,0.59812844,20.12171,-0.15452766,97.67805,-60° to -30°
16,1.0377634,2.5976465,152.55475,83.80097,150° to 180°
17,0.0,0.0,0.0,0.0,0° to 30°
18,0.0,0.0,0.0,0.0,0° to 30°
19,0.3866735,13.884749,-15.917013,128.61816,-150° to -120°
20,0.6961746,4.3756433,123.59137,11.112396,120° to 150°
21,0.0,0.0,0.0,0.0,0° to 30°
22,0.0,0.0,0.0,0.0,0° to 30°
23,0.0,0.0,0.0,0.0,0° to 30°
24,0.0,0.0,0.0,0.0,0° to 30°
25,0.0,0.0,0.0,0.0,0° to 30°
26,0.0,0.0,0.0,0.0,0° to 30°
27,0.0,0.0,0.0,0.0,0° to 30°
28,0.0,0.0,0.0,0.0,0° to 30°
29,0.0,0.0,0.0,0.0,0° to 30°
30,0.0,0.0,0.0,0.0,0° to 30°
31,0.2896543,14.995114,-28.73106,100.592064,-60° to -30°
32,1.4001334,14.090638,136.5459,4.783363,120° to 150°
33,1.326796,20.604467,-23.914043,2.8157678,-30° to 0°
34,0.2391683,0.73693824,-158.5682,58.28992,-180° to -150°
35,0.4688603,3.577695,40.797806,2.5292807,30° to 60°
36,0.0,0.0,0.0,0.0,0° to 30°
37,0.43289927,14.410856,-1.9656448,143.9722,-180° to -150°
38,0.21292165,1.1050668,-70.0282,15.930477,-90° to -60°
39,1.5953165,8.332674,-20.97075,11.997308,-30° to 0°
40,0.94906884,2.542265,108.70422,4.8353868,90° to 120°
41,1.1960626,3.6748333,108.66358,4.4762554,90° to 120°
42,0.78044105,3.080436,115.593994,6.4051895,90° to 120°
43,0.260454,1.5526237,125.40099,104.56749,150° to 180°
44,0.28464937,2.311138,146.79694,16.52412,120° to 150°
45,0.26960447,0.94487447,113.42967,4.01884,90° to 120°
46,0.073605135,0.79249203,-152.39586,61.33545,-180° to -150°
47,1.1813364,12.185297,-153.48376,79.51686,-180° to -150°
48,0.40930867,1.9937099,-33.267532,9.8476715,-60° to -30°
49,0.0,0.0,0.0,0.0,0° to 30°
50,0.41716897,14.454016,-10.0166645,84.281105,30° to 60°
51,0.8853399,6.7931485,-64.80424,5.668978,-90° to -60°
