Frame Index,Mean Arrow Length,Max Arrow Length
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.59812844,20.12171
16,1.0377634,2.5976465
17,0.0,0.0
18,0.0,0.0
19,0.3866735,13.884749
20,0.6961746,4.3756433
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.2896543,14.995114
32,1.4001334,14.090638
33,1.326796,20.604467
34,0.2391683,0.73693824
35,0.4688603,3.577695
36,0.0,0.0
37,0.43289927,14.410856
38,0.21292165,1.1050668
39,1.5953165,8.332674
40,0.94906884,2.542265
41,1.1960626,3.6748333
42,0.78044105,3.080436
43,0.260454,1.5526237
44,0.28464937,2.311138
45,0.26960447,0.94487447
46,0.073605135,0.79249203
47,1.1813364,12.185297
48,0.40930867,1.9937099
49,0.0,0.0
50,0.41716897,14.454016
51,0.8853399,6.7931485
52,0.0,0.0
53,0.4413379,16.529608
54,0.7472702,3.3650289
55,0.2637136,0.95659596
56,0.45587897,1.0764042
57,0.71655315,2.7771595
58,0.5283224,2.9043136
59,2.0385103,5.216272
60,0.4860399,2.8695304
61,0.86998737,3.09376
62,0.5918604,2.0341015
63,0.39596608,2.5351317
64,0.69035786,2.113592
65,0.4192595,1.9435307
66,0.3125476,0.94353503
67,0.25193352,1.0085137
68,0.9305974,3.482827
69,1.0522523,4.060404
70,0.91477984,1.8776624
71,0.33382043,1.8821232
72,0.24366678,2.0486732
73,0.077631794,0.9181097
74,0.015986333,0.3950204
75,0.07415102,0.75212026
76,0.70946836,3.4441626
77,0.26457584,1.292564
78,0.387729,0.8262525
79,0.6188749,2.0543451
80,0.25985393,1.6340057
81,0.06016832,1.5900817
82,0.9620862,8.363092
83,0.4947171,3.0372257
84,0.13502912,1.0837845
85,0.34985098,1.6481373
86,0.36555868,3.2533784
87,0.24177188,0.92347586
88,0.0,0.0
89,0.51332307,18.56362
90,0.3191496,5.013818
91,0.29249662,2.218719
92,0.3178914,2.1471477
93,0.19991282,1.034326
94,0.39152598,2.2044601
95,0.30476838,2.1171417
96,0.050075278,0.99726516
97,0.37142414,1.0651273
98,0.20250843,0.93718004
99,1.9078884,4.952029
100,0.20484741,0.967552
101,0.16055296,0.9599815
102,0.41616356,1.7610292
103,0.13990356,0.96212673
104,0.4829292,1.7201955
105,0.18690592,3.2834888
106,0.18542671,2.7619042
107,0.35772437,4.84737
108,0.5748605,2.0563731
109,0.5314528,2.1596045
110,0.44103193,1.8535566
111,0.19866401,2.209728
112,0.20952395,0.8734406
113,0.2505016,1.8642921
114,0.023326147,0.8905732
115,0.1339699,1.0220176
116,0.26676685,1.9511206
117,0.13089286,1.093065
118,0.061054196,0.88470733
119,1.261835,3.6854703
120,0.18410742,0.93206906
121,0.19625011,0.98137224
122,0.6097918,2.0480032
123,0.12272361,1.0199015
124,0.20492384,1.0292282
125,0.40536425,0.82318515
126,0.025505865,0.96173733
127,0.1275079,1.0244263
128,0.18453375,0.9396743
129,0.71779096,1.7273153
130,0.3830222,1.732575
131,0.22311173,1.9502232
132,0.028208893,1.0452687
133,0.20134577,0.97810996
134,0.31204316,1.082121
135,0.083541185,0.86764187
136,0.24093473,1.1031682
137,0.069488496,1.2821447
138,0.25643584,0.9604316
139,1.4548265,5.006993
140,0.43365276,0.97760385
141,0.049674395,1.0266347
142,0.28674465,1.2934893
143,0.18204343,0.84975725
144,0.06228514,0.6046742
145,0.04419516,1.0081217
146,0.0687217,0.9866995
147,0.035904825,0.7870573
148,0.252127,1.2821592
149,0.24128413,1.9164703
150,0.21511227,1.8579665
151,0.23776165,0.9773068
152,0.03514846,0.66237056
153,0.047641654,0.9320561
154,0.25102705,0.989007
155,0.26056838,0.99570185
156,0.22312087,0.8632001
157,0.25472566,2.3725076
158,0.36987245,0.97379535
159,0.5818379,7.058068
160,0.018388633,0.6350349
161,0.029166099,1.0359808
162,0.03150475,0.7727429
163,0.06946303,1.0013032
164,0.020434253,0.4629467
165,0.06066908,0.9938793
166,0.012616731,0.66072845
167,0.012817053,0.4032214
168,0.048497494,1.0236865
169,0.05137019,0.8952829
170,0.02301667,0.56961524
171,0.062523596,0.55618453
172,0.024098702,0.5659467
173,0.20645161,0.8318576
174,0.08950466,0.9039883
175,0.16111597,0.8449397
176,0.05703024,0.9964222
177,0.05030263,0.88281417
178,0.06683102,1.0157804
179,0.46196014,5.483255
180,0.040002845,0.45113477
181,0.24124725,0.8996493
182,0.005534777,0.49724853
183,0.28201038,1.0140555
184,0.009257023,0.80614024
185,0.011314481,0.55221033
186,0.055507153,0.91513467
187,0.023669703,0.8613493
188,0.09976917,0.97169656
189,0.05982571,0.7704541
190,0.06474269,0.594249
191,0.13059354,0.8325846
192,0.0065196645,0.40159723
193,0.021246063,1.017039
194,0.028587963,0.88983697
195,0.02655828,0.9426792
196,0.012044818,0.35693
197,0.10467197,0.9629664
198,0.21936269,0.8875538
199,0.0,0.0
200,0.0,0.0
201,0.0,0.0
202,0.0,0.0
203,0.0,0.0
204,0.0,0.0
205,0.0,0.0
206,0.0,0.0
207,0.0,0.0
208,0.0,0.0
209,0.0,0.0
210,0.0,0.0
211,0.0,0.0
212,0.0,0.0
213,0.0,0.0
214,0.0,0.0
215,0.0,0.0
216,0.0,0.0
217,0.0,0.0
218,0.0,0.0
219,0.0,0.0
220,0.0,0.0
221,0.0,0.0
222,0.0,0.0
223,0.0,0.0
224,0.0,0.0
225,0.0,0.0
226,0.0,0.0
227,0.0,0.0
228,0.0,0.0
229,0.0,0.0
230,0.0,0.0
231,0.0,0.0
232,0.0,0.0
233,0.0,0.0
234,0.0,0.0
235,0.0,0.0
236,0.0,0.0
237,0.0,0.0
238,0.0,0.0
